cohort,algo,auroc_nested
cleveland,logreg,0.7098
cleveland,nb,0.7119
cleveland,dtree,0.7344
cleveland,knn,0.6869
cleveland,svm,0.7029
cleveland,rf,0.7086
cleveland,extra,0.6984
cleveland,hgb,0.706
cleveland,xgb,0.6843
cleveland,lgbm,0.7017
framingham,logreg,0.7202
framingham,nb,0.7101
framingham,dtree,0.6855
framingham,knn,0.6863
framingham,svm,0.7201
framingham,rf,0.7053
framingham,extra,0.716
framingham,hgb,0.695
framingham,xgb,0.7053
framingham,lgbm,0.7043
hungarian,logreg,0.6918
hungarian,nb,0.6924
hungarian,dtree,0.6582
hungarian,knn,0.6857
hungarian,svm,0.6755
hungarian,rf,0.6771
hungarian,extra,0.689
hungarian,hgb,0.6775
hungarian,xgb,0.6296
hungarian,lgbm,0.686
va_longbeach,logreg,0.6353
va_longbeach,nb,0.6185
va_longbeach,dtree,0.5348
va_longbeach,knn,0.5733
va_longbeach,svm,0.6337
va_longbeach,rf,0.5319
va_longbeach,extra,0.5618
va_longbeach,hgb,0.5809
va_longbeach,xgb,0.5615
va_longbeach,lgbm,0.5771
