schema,cohort,prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,net_benefit_at_0.10,net_benefit_at_0.20,nb_positive_up_to
L1,cleveland,0.4587,logreg,unweighted,0.72,0.2131,0.087,0.088,0.954,-0.003,0.399,0.3383,0.6
L1,cleveland,0.4587,logreg,weighted,0.7195,0.2142,0.0536,0.0888,0.952,-0.16,0.4004,0.3399,0.6
L1,cleveland,0.4587,logreg,weighted + recalibrated,0.6891,0.216,0.0611,0.0858,0.503,-0.037,0.4019,0.3366,0.6
L1,cleveland,0.4587,dtree,unweighted,0.7074,0.2156,0.0716,0.0983,0.516,-0.015,0.4023,0.3358,0.6
L1,cleveland,0.4587,dtree,weighted,0.707,0.2169,0.0731,0.1033,0.515,-0.1,0.4023,0.3333,0.6
L1,cleveland,0.4587,dtree,weighted + recalibrated,0.6947,0.2158,0.0585,0.0799,0.717,0.014,0.388,0.3325,0.6
L1,cleveland,0.4587,rf,unweighted,0.7224,0.2111,0.0434,0.0724,0.939,-0.008,0.4015,0.349,0.6
L1,cleveland,0.4587,rf,weighted,0.7231,0.2109,0.0483,0.0835,0.939,-0.122,0.403,0.3482,0.6
L1,cleveland,0.4587,rf,weighted + recalibrated,0.6931,0.2191,0.0628,0.0845,0.234,-0.035,0.4056,0.3515,0.6
L1,cleveland,0.4587,extra,unweighted,0.7149,0.2139,0.0411,0.0745,1.26,0.026,0.3986,0.3424,0.6
L1,cleveland,0.4587,extra,weighted,0.7151,0.2148,0.0473,0.1009,1.258,-0.165,0.3986,0.3391,0.6
L1,cleveland,0.4587,extra,weighted + recalibrated,0.7017,0.2151,0.0695,0.1242,0.418,-0.007,0.4041,0.3358,0.6
L1,cleveland,0.4587,hgb,unweighted,0.6643,0.2539,0.1539,0.1703,0.335,-0.052,0.3865,0.3218,0.56
L1,cleveland,0.4587,hgb,weighted,0.6705,0.251,0.1465,0.1529,0.342,-0.099,0.3891,0.3226,0.58
L1,cleveland,0.4587,hgb,weighted + recalibrated,0.6346,0.2404,0.0661,0.1023,0.083,-0.134,0.392,0.33,0.56
L1,framingham,0.1519,logreg,unweighted,0.7198,0.118,0.0095,0.0168,0.951,-0.078,0.0741,0.0332,0.6
L1,framingham,0.1519,logreg,weighted,0.7201,0.2129,0.2942,0.2942,0.924,-1.712,0.0578,-0.0388,0.15
L1,framingham,0.1519,logreg,weighted + recalibrated,0.7101,0.1187,0.0088,0.0127,0.832,-0.259,0.0749,0.0359,0.54
L1,framingham,0.1519,dtree,unweighted,0.6561,0.1273,0.0443,0.0455,0.263,-1.171,0.0632,0.0203,0.27
L1,framingham,0.1519,dtree,weighted,0.6476,0.2253,0.2797,0.2797,0.115,-1.609,0.061,-0.0307,0.16
L1,framingham,0.1519,dtree,weighted + recalibrated,0.6416,0.1234,0.0064,0.0096,0.867,-0.225,0.0622,0.016,0.57
L1,framingham,0.1519,rf,unweighted,0.7015,0.1195,0.0143,0.0151,0.848,-0.234,0.0711,0.032,0.54
L1,framingham,0.1519,rf,weighted,0.6983,0.155,0.1698,0.1698,0.856,-1.161,0.062,-0.0096,0.18
L1,framingham,0.1519,rf,weighted + recalibrated,0.6872,0.1202,0.0096,0.0137,0.774,-0.355,0.07,0.0312,0.52
L1,framingham,0.1519,extra,unweighted,0.7127,0.119,0.0173,0.0239,1.324,0.511,0.072,0.03,0.48
L1,framingham,0.1519,extra,weighted,0.7105,0.2037,0.287,0.287,1.354,-1.576,0.0577,-0.0543,0.15
L1,framingham,0.1519,extra,weighted + recalibrated,0.7004,0.1192,0.0117,0.014,0.865,-0.204,0.0724,0.0262,0.56
L1,framingham,0.1519,hgb,unweighted,0.6607,0.1289,0.0612,0.0612,0.448,-0.802,0.0595,0.0142,0.27
L1,framingham,0.1519,hgb,weighted,0.6569,0.183,0.1856,0.1856,0.411,-1.421,0.0665,-0.0088,0.18
L1,framingham,0.1519,hgb,weighted + recalibrated,0.6486,0.1236,0.0074,0.008,0.744,-0.414,0.0648,0.018,0.6
L1,hungarian,0.3605,logreg,unweighted,0.6981,0.2049,0.0176,0.0787,0.92,-0.037,0.2933,0.2211,0.6
L1,hungarian,0.3605,logreg,weighted,0.6988,0.2196,0.1193,0.1239,0.922,-0.562,0.2906,0.216,0.45
L1,hungarian,0.3605,logreg,weighted + recalibrated,0.6774,0.2065,0.0696,0.0781,0.292,-0.374,0.2846,0.2236,0.6
L1,hungarian,0.3605,dtree,unweighted,0.696,0.2081,0.0684,0.0808,0.695,-0.146,0.2827,0.2279,0.53
L1,hungarian,0.3605,dtree,weighted,0.6978,0.2233,0.1302,0.1371,0.693,-0.548,0.2872,0.2151,0.48
