schema,cohort,algo,auroc,auroc_lo,auroc_hi,brier,ece10,ece20,calib_slope,calib_intercept
L1,cleveland,logreg,0.7194,0.6615,0.7725,0.2146,0.0637,0.0991,0.978,-0.181
L1,cleveland,nb,0.712,0.6605,0.7696,0.2181,0.0709,0.0844,0.689,-0.018
L1,cleveland,dtree,0.695,0.6386,0.7516,0.2315,0.0989,0.1443,0.123,-0.032
L1,cleveland,knn,0.699,0.634,0.7512,0.2277,0.0851,0.1092,0.037,-0.157
L1,cleveland,svm,0.6986,0.6385,0.7546,0.2389,0.039,0.1007,6.45,1.024
L1,cleveland,rf,0.7228,0.6648,0.7792,0.2143,0.0612,0.0937,1.604,-0.158
L1,cleveland,extra,0.7155,0.6572,0.7697,0.2221,0.0815,0.0951,1.756,-0.181
L1,cleveland,hgb,0.7058,0.6473,0.7632,0.2182,0.0871,0.0967,0.672,-0.041
L1,cleveland,xgb,0.7182,0.6591,0.7779,0.2133,0.0735,0.0905,1.432,0.05
L1,cleveland,lgbm,0.7078,0.6473,0.7638,0.2184,0.0811,0.11,0.702,-0.142
L1,framingham,logreg,0.7205,0.7002,0.7392,0.2152,0.3004,0.3004,0.979,-1.73
L1,framingham,nb,0.7101,0.6886,0.7288,0.1456,0.0998,0.1003,0.135,-1.464
L1,framingham,dtree,0.6834,0.6633,0.7021,0.2194,0.2901,0.2901,0.742,-1.669
L1,framingham,knn,0.6854,0.6623,0.7073,0.1211,0.0167,0.017,0.414,-0.885
L1,framingham,svm,0.7206,0.7004,0.7393,0.1181,0.0105,0.0137,0.998,-0.008
L1,framingham,rf,0.7055,0.6858,0.7259,0.21,0.2962,0.2962,1.309,-1.63
L1,framingham,extra,0.7144,0.6936,0.7346,0.2164,0.3111,0.3111,1.77,-1.673
L1,framingham,hgb,0.6987,0.6794,0.7186,0.12,0.0129,0.0134,1.043,0.067
L1,framingham,xgb,0.7067,0.6866,0.7268,0.1191,0.0055,0.0079,0.959,-0.06
L1,framingham,lgbm,0.7047,0.6847,0.7252,0.2117,0.2925,0.2925,1.053,-1.659
L1,hungarian,logreg,0.6976,0.6344,0.7583,0.2208,0.1243,0.1254,0.954,-0.582
L1,hungarian,nb,0.6921,0.6286,0.7533,0.2259,0.1088,0.1411,0.206,-0.412
L1,hungarian,dtree,0.6789,0.6173,0.7424,0.2217,0.1236,0.1268,0.913,-0.58
L1,hungarian,knn,0.7025,0.6434,0.7632,0.2026,0.0393,0.0562,0.993,-0.036
L1,hungarian,svm,0.6951,0.6341,0.7543,0.2109,0.0531,0.0604,2.053,0.619
L1,hungarian,rf,0.6923,0.6318,0.7498,0.221,0.1176,0.1176,1.255,-0.528
L1,hungarian,extra,0.6874,0.6254,0.747,0.2242,0.1264,0.1268,1.423,-0.574
L1,hungarian,hgb,0.6757,0.6126,0.734,0.2137,0.0533,0.0813,0.706,-0.147
L1,hungarian,xgb,0.648,0.5805,0.7092,0.2164,0.0556,0.0645,0.808,-0.111
L1,hungarian,lgbm,0.6743,0.6123,0.7316,0.2261,0.1154,0.1524,0.724,-0.522
L1,kaggle_cvd70k,logreg,0.7899,0.7867,0.7933,0.1875,0.032,0.0362,1.001,-0.02
L1,kaggle_cvd70k,nb,0.7772,0.7737,0.7805,0.2147,0.1423,0.1423,0.359,-0.01
L1,kaggle_cvd70k,dtree,0.7915,0.7881,0.7949,0.1849,0.0125,0.014,0.908,-0.025
L1,kaggle_cvd70k,knn,0.7903,0.787,0.7937,0.1856,0.0183,0.0187,0.906,0.008
L1,kaggle_cvd70k,svm,0.7909,0.7876,0.7942,0.1858,0.0213,0.0233,0.986,0.011
L1,kaggle_cvd70k,rf,0.7993,0.7959,0.8024,0.1815,0.0127,0.0131,1.073,-0.017
L1,kaggle_cvd70k,extra,0.7972,0.794,0.8005,0.185,0.0474,0.0474,1.33,-0.011
L1,kaggle_cvd70k,hgb,0.8001,0.7969,0.8033,0.181,0.0045,0.0049,1.023,0.001
L1,kaggle_cvd70k,xgb,0.8001,0.7969,0.8032,0.1809,0.0027,0.0041,1.012,0.0
L1,kaggle_cvd70k,lgbm,0.7999,0.7967,0.8031,0.181,0.0051,0.0059,1.022,-0.02
L1,va_longbeach,logreg,0.6339,0.5428,0.7187,0.2368,0.2344,0.236,0.824,1.065
L1,va_longbeach,nb,0.6185,0.5288,0.7117,0.194,0.1112,0.1225,0.103,0.942
L1,va_longbeach,dtree,0.5658,0.4736,0.6664,0.2653,0.2453,0.2465,0.042,1.013
L1,va_longbeach,knn,0.6072,0.5096,0.6992,0.2314,0.1586,0.1668,0.027,0.968
L1,va_longbeach,svm,0.5529,0.4638,0.6491,0.1906,0.0062,0.0062,0.53,0.483
L1,va_longbeach,rf,0.5911,0.5004,0.6837,0.2138,0.1145,0.1422,0.331,0.834
L1,va_longbeach,extra,0.5952,0.5011,0.691,0.2297,0.2044,0.2148,0.681,0.974
L1,va_longbeach,hgb,0.5586,0.4673,0.6485,0.2592,0.2207,0.2377,0.089,0.876
L1,va_longbeach,xgb,0.5833,0.4889,0.6715,0.2362,0.1825,0.1917,0.148,0.832
L1,va_longbeach,lgbm,0.588,0.4971,0.6787,0.2627,0.2157,0.2242,0.145,0.899
