cohort,algo,threshold_rule,threshold,auroc,auprc,brier,ece,sensitivity,specificity,ppv,npv,f1,accuracy,balanced_accuracy,constant_classifier_accuracy,prevalence,TP,FP,TN,FN
uci_cleveland,logreg,youden,0.5382,0.7196,0.6549,0.2188,0.0505,0.4964,0.8476,0.734,0.6651,0.5923,0.6865,0.672,0.5413,0.4587,69,25,139,70
uci_cleveland,logreg,0.5,0.5,0.7196,0.6549,0.2188,0.0505,0.6043,0.6707,0.6087,0.6667,0.6065,0.6403,0.6375,0.5413,0.4587,84,54,110,55
uci_cleveland,knn,youden,0.55,0.7083,0.6395,0.2143,0.0335,0.5252,0.7561,0.646,0.6526,0.5794,0.6502,0.6406,0.5413,0.4587,73,40,124,66
uci_cleveland,knn,0.5,0.5,0.7083,0.6395,0.2143,0.0335,0.6259,0.6341,0.5918,0.6667,0.6084,0.6304,0.63,0.5413,0.4587,87,60,104,52
uci_cleveland,nb,youden,0.3797,0.7203,0.6478,0.2156,0.0959,0.8273,0.561,0.615,0.7931,0.7055,0.6832,0.6942,0.5413,0.4587,115,72,92,24
uci_cleveland,nb,0.5,0.5,0.7203,0.6478,0.2156,0.0959,0.6259,0.6585,0.6084,0.675,0.617,0.6436,0.6422,0.5413,0.4587,87,56,108,52
uci_cleveland,dtree,youden,0.5417,0.7074,0.6401,0.2156,0.0716,0.554,0.75,0.6525,0.6649,0.5992,0.6601,0.652,0.5413,0.4587,77,41,123,62
uci_cleveland,dtree,0.5,0.5,0.7074,0.6401,0.2156,0.0716,0.6691,0.5915,0.5812,0.6783,0.6221,0.6271,0.6303,0.5413,0.4587,93,67,97,46
uci_cleveland,svm,youden,0.4221,0.7138,0.6684,0.2159,0.0367,0.7482,0.5732,0.5977,0.7287,0.6645,0.6535,0.6607,0.5413,0.4587,104,70,94,35
uci_cleveland,svm,0.5,0.5,0.7138,0.6684,0.2159,0.0367,0.5324,0.7439,0.6379,0.6524,0.5804,0.6469,0.6381,0.5413,0.4587,74,42,122,65
uci_cleveland,rf,youden,0.5089,0.7281,0.6619,0.2128,0.0721,0.5468,0.7927,0.6909,0.6736,0.6104,0.6799,0.6697,0.5413,0.4587,76,34,130,63
uci_cleveland,rf,0.5,0.5,0.7281,0.6619,0.2128,0.0721,0.5468,0.7927,0.6909,0.6736,0.6104,0.6799,0.6697,0.5413,0.4587,76,34,130,63
uci_cleveland,gb,youden,0.4694,0.7217,0.6375,0.2122,0.0721,0.6475,0.6951,0.6429,0.6994,0.6452,0.6733,0.6713,0.5413,0.4587,90,50,114,49
uci_cleveland,gb,0.5,0.5,0.7217,0.6375,0.2122,0.0721,0.5468,0.7439,0.6441,0.6595,0.5914,0.6535,0.6453,0.5413,0.4587,76,42,122,63
uci_cleveland,xgb,youden,0.5042,0.7255,0.6404,0.2123,0.0779,0.6331,0.7317,0.6667,0.7018,0.6494,0.6865,0.6824,0.5413,0.4587,88,44,120,51
uci_cleveland,xgb,0.5,0.5,0.7255,0.6404,0.2123,0.0779,0.6331,0.7317,0.6667,0.7018,0.6494,0.6865,0.6824,0.5413,0.4587,88,44,120,51
uci_cleveland,lgbm,youden,0.5478,0.7295,0.6644,0.2068,0.0725,0.554,0.7927,0.6937,0.6771,0.616,0.6832,0.6733,0.5413,0.4587,77,34,130,62
uci_cleveland,lgbm,0.5,0.5,0.7295,0.6644,0.2068,0.0725,0.5755,0.7378,0.6504,0.6722,0.6107,0.6634,0.6567,0.5413,0.4587,80,43,121,59
uci_cleveland,catboost,youden,0.4284,0.7294,0.6383,0.2097,0.043,0.777,0.6037,0.6243,0.7615,0.6923,0.6832,0.6903,0.5413,0.4587,108,65,99,31
uci_cleveland,catboost,0.5,0.5,0.7294,0.6383,0.2097,0.043,0.5899,0.7195,0.6406,0.6743,0.6142,0.6601,0.6547,0.5413,0.4587,82,46,118,57
framingham,logreg,youden,0.1819,0.7204,0.3197,0.1181,0.0233,0.6568,0.6969,0.2796,0.919,0.3922,0.6908,0.6769,0.8481,0.1519,423,1090,2506,221
framingham,logreg,0.5,0.5,0.7204,0.3197,0.1181,0.0233,0.0435,0.9939,0.56,0.853,0.0807,0.8495,0.5187,0.8481,0.1519,28,22,3574,616
framingham,knn,youden,0.1724,0.6856,0.2749,0.1213,0.0207,0.6149,0.6652,0.2475,0.9061,0.3529,0.6575,0.64,0.8481,0.1519,396,1204,2392,248
framingham,knn,0.5,0.5,0.6856,0.2749,0.1213,0.0207,0.0109,0.9958,0.3182,0.849,0.021,0.8462,0.5033,0.8481,0.1519,7,15,3581,637
framingham,nb,youden,0.0752,0.7101,0.2985,0.1457,0.0948,0.7283,0.5965,0.2443,0.9246,0.3658,0.6165,0.6624,0.8481,0.1519,469,1451,2145,175
framingham,nb,0.5,0.5,0.7101,0.2985,0.1457,0.0948,0.2267,0.9232,0.346,0.8696,0.2739,0.8175,0.575,0.8481,0.1519,146,276,3320,498
framingham,dtree,youden,0.1829,0.684,0.2756,0.1219,0.0196,0.5978,0.681,0.2513,0.9044,0.3539,0.6684,0.6394,0.8481,0.1519,385,1147,2449,259
framingham,dtree,0.5,0.5,0.684,0.2756,0.1219,0.0196,0.1087,0.9791,0.4828,0.8598,0.1774,0.8469,0.5439,0.8481,0.1519,70,75,3521,574
framingham,svm,youden,0.1411,0.7201,0.3082,0.1183,0.0091,0.7236,0.624,0.2563,0.9265,0.3786,0.6392,0.6738,0.8481,0.1519,466,1352,2244,178
framingham,svm,0.5,0.5,0.7201,0.3082,0.1183,0.0091,0.0217,0.9983,0.7,0.8507,0.0422,0.85,0.51,0.8481,0.1519,14,6,3590,630
framingham,rf,youden,0.1503,0.7104,0.3115,0.1188,0.0096,0.7019,0.6232,0.2501,0.9211,0.3688,0.6351,0.6625,0.8481,0.1519,452,1355,2241,192
framingham,rf,0.5,0.5,0.7104,0.3115,0.1188,0.0096,0.0078,0.9992,0.625,0.849,0.0153,0.8486,0.5035,0.8481,0.1519,5,3,3593,639
framingham,gb,youden,0.162,0.707,0.3053,0.1191,0.0117,0.6646,0.6549,0.2564,0.916,0.3701,0.6564,0.6597,0.8481,0.1519,428,1241,2355,216
framingham,gb,0.5,0.5,0.707,0.3053,0.1191,0.0117,0.0078,0.9986,0.5,0.8489,0.0153,0.8481,0.5032,0.8481,0.1519,5,5,3591,639
framingham,xgb,youden,0.151,0.7096,0.3108,0.1188,0.0133,0.6879,0.6301,0.2499,0.9185,0.3666,0.6389,0.659,0.8481,0.1519,443,1330,2266,201
framingham,xgb,0.5,0.5,0.7096,0.3108,0.1188,0.0133,0.0124,0.9989,0.6667,0.8496,0.0244,0.8491,0.5057,0.8481,0.1519,8,4,3592,636
framingham,lgbm,youden,0.1405,0.6978,0.2997,0.1198,0.0064,0.7034,0.5998,0.2394,0.9187,0.3573,0.6156,0.6516,0.8481,0.1519,453,1439,2157,191
framingham,lgbm,0.5,0.5,0.6978,0.2997,0.1198,0.0064,0.0047,0.9986,0.375,0.8485,0.0092,0.8476,0.5016,0.8481,0.1519,3,5,3591,641
framingham,catboost,youden,0.1458,0.7155,0.3091,0.1186,0.0162,0.7267,0.6032,0.247,0.9249,0.3686,0.6219,0.6649,0.8481,0.1519,468,1427,2169,176
framingham,catboost,0.5,0.5,0.7155,0.3091,0.1186,0.0162,0.0155,0.9981,0.5882,0.8499,0.0303,0.8488,0.5068,0.8481,0.1519,10,7,3589,634
kaggle_cvd70k,logreg,youden,0.495,0.7836,0.7632,0.1924,0.0492,0.6812,0.7607,0.7398,0.7049,0.7093,0.721,0.721,0.5003,0.4997,23828,8380,26641,11151
kaggle_cvd70k,logreg,0.5,0.5,0.7836,0.7632,0.1924,0.0492,0.6727,0.7682,0.7435,0.7015,0.7063,0.7205,0.7205,0.5003,0.4997,23531,8118,26903,11448
kaggle_cvd70k,knn,youden,0.5172,0.7755,0.7516,0.1932,0.0234,0.6796,0.7515,0.732,0.7014,0.7049,0.7156,0.7156,0.5003,0.4997,23773,8702,26319,11206
kaggle_cvd70k,knn,0.5,0.5,0.7755,0.7516,0.1932,0.0234,0.6796,0.7515,0.732,0.7014,0.7049,0.7156,0.7156,0.5003,0.4997,23773,8702,26319,11206
kaggle_cvd70k,nb,youden,0.3276,0.5928,0.6076,0.2914,0.2172,0.2589,0.8795,0.6821,0.543,0.3753,0.5694,0.5692,0.5003,0.4997,9055,4220,30801,25924
kaggle_cvd70k,nb,0.5,0.5,0.5928,0.6076,0.2914,0.2172,0.0241,0.9949,0.8247,0.5051,0.0468,0.5098,0.5095,0.5003,0.4997,842,179,34842,34137
kaggle_cvd70k,dtree,youden,0.5098,0.7941,0.7724,0.1831,0.0071,0.6548,0.8073,0.7724,0.7007,0.7087,0.7311,0.731,0.5003,0.4997,22904,6750,28271,12075
kaggle_cvd70k,dtree,0.5,0.5,0.7941,0.7724,0.1831,0.0071,0.6664,0.7941,0.7638,0.7044,0.7117,0.7303,0.7302,0.5003,0.4997,23309,7210,27811,11670
kaggle_cvd70k,svm,youden,0.5207,0.7876,0.7696,0.1883,0.0319,0.6753,0.7838,0.7572,0.7073,0.714,0.7296,0.7296,0.5003,0.4997,23623,7573,27448,11356
kaggle_cvd70k,svm,0.5,0.5,0.7876,0.7696,0.1883,0.0319,0.6941,0.764,0.746,0.7143,0.7191,0.7291,0.7291,0.5003,0.4997,24280,8266,26755,10699
kaggle_cvd70k,rf,youden,0.5026,0.8011,0.7861,0.1804,0.0048,0.6868,0.7858,0.7621,0.7153,0.7225,0.7363,0.7363,0.5003,0.4997,24024,7501,27520,10955
kaggle_cvd70k,rf,0.5,0.5,0.8011,0.7861,0.1804,0.0048,0.6888,0.7835,0.7606,0.716,0.723,0.7362,0.7362,0.5003,0.4997,24095,7583,27438,10884
kaggle_cvd70k,gb,youden,0.4939,0.8016,0.7862,0.1802,0.0039,0.7029,0.769,0.7524,0.7215,0.7268,0.7359,0.7359,0.5003,0.4997,24586,8091,26930,10393
kaggle_cvd70k,gb,0.5,0.5,0.8016,0.7862,0.1802,0.0039,0.6954,0.7753,0.7556,0.7182,0.7243,0.7354,0.7354,0.5003,0.4997,24326,7868,27153,10653
kaggle_cvd70k,xgb,youden,0.4969,0.8021,0.7871,0.18,0.0031,0.6992,0.7744,0.7558,0.7205,0.7264,0.7368,0.7368,0.5003,0.4997,24458,7901,27120,10521
kaggle_cvd70k,xgb,0.5,0.5,0.8021,0.7871,0.18,0.0031,0.6963,0.7767,0.7569,0.7191,0.7254,0.7365,0.7365,0.5003,0.4997,24356,7821,27200,10623
kaggle_cvd70k,lgbm,youden,0.4972,0.802,0.7873,0.1801,0.0036,0.6971,0.7764,0.7569,0.7196,0.7258,0.7368,0.7368,0.5003,0.4997,24385,7831,27190,10594
kaggle_cvd70k,lgbm,0.5,0.5,0.802,0.7873,0.1801,0.0036,0.6941,0.7782,0.7576,0.7181,0.7245,0.7362,0.7362,0.5003,0.4997,24278,7766,27255,10701
kaggle_cvd70k,catboost,youden,0.4962,0.802,0.786,0.1801,0.0029,0.6998,0.7731,0.7549,0.7205,0.7263,0.7364,0.7364,0.5003,0.4997,24478,7948,27073,10501
kaggle_cvd70k,catboost,0.5,0.5,0.802,0.786,0.1801,0.0029,0.696,0.7756,0.7559,0.7187,0.7247,0.7358,0.7358,0.5003,0.4997,24346,7860,27161,10633
statlog,logreg,youden,0.5704,0.7158,0.6443,0.2151,0.0703,0.5167,0.8267,0.7045,0.6813,0.5962,0.6889,0.6717,0.5556,0.4444,62,26,124,58
statlog,logreg,0.5,0.5,0.7158,0.6443,0.2151,0.0703,0.6083,0.7,0.6186,0.6908,0.6134,0.6593,0.6542,0.5556,0.4444,73,45,105,47
statlog,knn,youden,0.4444,0.7274,0.6306,0.2087,0.0525,0.7833,0.5733,0.5949,0.7679,0.6763,0.6667,0.6783,0.5556,0.4444,94,64,86,26
statlog,knn,0.5,0.5,0.7274,0.6306,0.2087,0.0525,0.625,0.6667,0.6,0.6897,0.6122,0.6481,0.6458,0.5556,0.4444,75,50,100,45
statlog,nb,youden,0.4879,0.7112,0.6184,0.2198,0.1068,0.6833,0.68,0.6308,0.7286,0.656,0.6815,0.6817,0.5556,0.4444,82,48,102,38
statlog,nb,0.5,0.5,0.7112,0.6184,0.2198,0.1068,0.65,0.6933,0.629,0.7123,0.6393,0.6741,0.6717,0.5556,0.4444,78,46,104,42
statlog,dtree,youden,0.4583,0.7178,0.6395,0.2129,0.0548,0.775,0.5667,0.5886,0.7589,0.6691,0.6593,0.6708,0.5556,0.4444,93,65,85,27
statlog,dtree,0.5,0.5,0.7178,0.6395,0.2129,0.0548,0.625,0.6867,0.6148,0.6959,0.6198,0.6593,0.6558,0.5556,0.4444,75,47,103,45
statlog,svm,youden,0.4522,0.7107,0.6321,0.2382,0.0364,0.65,0.7067,0.6393,0.7162,0.6446,0.6815,0.6783,0.5556,0.4444,78,44,106,42
statlog,svm,0.5,0.5,0.7107,0.6321,0.2382,0.0364,0.1083,0.9667,0.7222,0.5754,0.1884,0.5852,0.5375,0.5556,0.4444,13,5,145,107
statlog,rf,youden,0.466,0.7208,0.6263,0.2104,0.0314,0.625,0.7267,0.6466,0.7078,0.6356,0.6815,0.6758,0.5556,0.4444,75,41,109,45
statlog,rf,0.5,0.5,0.7208,0.6263,0.2104,0.0314,0.525,0.7667,0.6429,0.6686,0.578,0.6593,0.6458,0.5556,0.4444,63,35,115,57
statlog,gb,youden,0.4934,0.7166,0.6188,0.213,0.0487,0.5833,0.7667,0.6667,0.697,0.6222,0.6852,0.675,0.5556,0.4444,70,35,115,50
statlog,gb,0.5,0.5,0.7166,0.6188,0.213,0.0487,0.575,0.7733,0.6699,0.6946,0.6188,0.6852,0.6742,0.5556,0.4444,69,34,116,51
statlog,xgb,youden,0.4949,0.7228,0.6385,0.2097,0.0432,0.5917,0.7733,0.6762,0.703,0.6311,0.6926,0.6825,0.5556,0.4444,71,34,116,49
statlog,xgb,0.5,0.5,0.7228,0.6385,0.2097,0.0432,0.575,0.78,0.6765,0.6964,0.6216,0.6889,0.6775,0.5556,0.4444,69,33,117,51
statlog,lgbm,youden,0.5005,0.7162,0.6278,0.2133,0.0776,0.6,0.74,0.6486,0.6981,0.6234,0.6778,0.67,0.5556,0.4444,72,39,111,48
statlog,lgbm,0.5,0.5,0.7162,0.6278,0.2133,0.0776,0.6,0.74,0.6486,0.6981,0.6234,0.6778,0.67,0.5556,0.4444,72,39,111,48
statlog,catboost,youden,0.4211,0.7297,0.6358,0.2087,0.0397,0.7833,0.6067,0.6144,0.7778,0.6886,0.6852,0.695,0.5556,0.4444,94,59,91,26
statlog,catboost,0.5,0.5,0.7297,0.6358,0.2087,0.0397,0.6083,0.7133,0.6293,0.6948,0.6186,0.6667,0.6608,0.5556,0.4444,73,43,107,47
